ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
AMGN,Health Care,390.02,2.94,1.86,1.45,-0.78,-0.8,64.9
AMP,Financials,553.58,0.27,0.17,0.59,1.59,0.0,73.1
AMT,Real Estate,175.25,1.3,0.64,0.63,2.19,-8.9,55.8
AMZN,Consumer Discretionary,277.42,-2.32,-0.82,1.45,20.17,-2.3,67.0
ANET,Information Technology,190.51,3.04,0.8,1.86,12.26,0.0,62.4
AON,Financials,356.65,-0.27,-0.15,0.54,-6.24,-6.2,51.0
AOS,Industrials,63.37,4.35,2.31,0.69,-0.4,-20.3,60.4
APA,Energy,35.8,-2.9,-1.09,0.93,2.49,-18.2,52.4
APD,Materials,294.71,0.6,0.34,0.6,0.64,-6.2,50.7
APH,Information Technology,171.33,4.89,1.52,1.18,19.1,-2.8,63.5
APO,Financials,133.2,2.92,1.37,0.93,6.82,-4.1,65.8
APP,Information Technology,419.7,3.33,0.75,1.14,0.35,-31.6,43.8
APTV,Consumer Discretionary,47.72,-16.62,-5.44,6.64,-19.66,-44.0,26.8
ARB-USD,Crypto,0.0,0.0,0.0,20.0,-2.78,-30.0,0.0
ARE,Real Estate,48.87,-7.84,-3.0,2.12,-9.5,-11.5,43.8
ARES,Financials,142.91,3.13,1.15,1.37,11.74,0.0,72.5
ATO,Utilities,172.65,-0.14,-0.12,0.74,-3.75,-9.7,42.7
ATOM-USD,Crypto,1.38,1.13,0.34,1.39,7.45,-41.6,45.2
AVAX-USD,Crypto,6.71,2.21,0.66,1.39,4.3,-36.0,54.0
AVB,Real Estate,189.25,0.25,0.18,0.35,-0.6,-3.2,50.3
AVGO,Information Technology,418.16,6.61,1.93,1.39,9.78,-13.0,61.8
AVY,Materials,173.3,0.6,0.33,0.85,2.47,-11.2,62.0
AWK,Utilities,134.01,2.06,1.36,1.33,-2.92,-3.4,52.4
AXON,Industrials,607.2,5.44,1.26,1.06,10.87,-5.2,66.3
AXP,Financials,346.71,0.58,0.35,0.86,2.99,-4.1,54.4
AZO,Consumer Discretionary,3028.03,1.26,0.56,0.63,-2.91,-22.0,48.2
BA,Industrials,237.16,1.57,0.62,1.1,7.04,-3.1,63.8
BAC,Financials,62.9,0.67,0.52,0.85,0.45,0.0,66.7
BALL,Materials,63.75,-2.15,-1.36,1.35,-4.69,-5.3,54.8
BAX,Health Care,28.35,0.89,0.32,1.41,16.33,0.0,77.0
BBY,Consumer Discretionary,86.35,1.29,0.45,1.09,-3.49,-4.2,58.9
BDX,Health Care,170.12,-0.05,-0.03,1.19,2.27,-7.0,68.1
BEN,Financials,35.77,1.5,0.84,0.73,7.32,0.0,68.5
BF-B,Consumer Staples,28.47,2.37,1.07,0.46,-1.49,-5.5,58.9
BG,Consumer Staples,106.73,1.26,0.59,1.59,-9.07,-18.8,36.7
BIIB,Health Care,208.45,3.29,1.27,0.79,1.38,-3.8,54.7
BKNG,Consumer Discretionary,194.27,0.81,0.32,1.43,-2.53,-3.5,61.1
BKR,Energy,61.73,1.51,0.67,0.67,5.59,-11.1,62.3
BLDR,Industrials,75.37,3.99,1.09,0.69,2.29,-41.3,52.2
BLK,Financials,1131.13,0.4,0.21,0.78,3.06,0.0,65.4
BMY,Health Care,65.89,0.64,0.35,1.42,3.6,0.0,72.8
BNB-USD,Crypto,593.82,0.85,0.49,0.93,0.31,-17.3,59.4
BNY,Financials,156.82,0.4,0.27,0.45,0.21,-3.0,57.7
BR,Industrials,168.41,7.04,3.48,2.11,6.47,-13.4,70.3
BRK-B,Financials,517.22,0.8,0.88,0.85,0.95,0.0,70.0
BRO,Financials,71.17,-0.85,-0.36,0.52,-3.37,-4.9,58.1
BSX,Health Care,49.09,1.36,0.53,0.89,6.58,-36.8,67.6
BTC-USD,Crypto,64359.06,1.42,0.8,1.0,-0.57,-21.6,52.0
BX,Financials,137.2,1.87,0.75,1.15,3.51,0.0,67.3
BXP,Real Estate,70.67,0.37,0.22,0.59,1.01,-3.2,59.0
C,Financials,136.87,2.47,1.31,0.67,3.85,-5.6,55.8
